Rank,System,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW)
101,"T3D MC1024-8,                 Cray/HPE                GovernmentUnited States",1024,100.5,153.6,
102,"VPP700/48E,                 Fujitsu                ECMWFUnited Kingdom",48,97.5,115.2,
103,"SP PC604e 332 MHz,                 IBM                Banque National ParisFrance",316,97.3,209.8,
104,"SP Power3 200 MHz,                 IBM                University of Minnesota/Supercomputing InstituteUnited States",160,94.9,128.0,
105,"SP P2SC 135 MHz,                 IBM                Air Force Research LaboratoryUnited States",256,94.19,138.24,
106,"SP P2SC 135 MHz,                 IBM                ERDC DSRCUnited States",256,94.19,138.24,
107,"SP PC604e 332 MHz,                 IBM                British AirwaysUnited Kingdom",302,93.1,200.5,
108,"SP PC604e 332 MHz,                 IBM                IBM Thomas J. Watson Research CenterUnited States",296,91.2,196.5,
109,"T3E750,                 Cray/HPE                GovernmentUnited States",172,89.8,129.0,
110,"SP Power3 200 MHz,                 IBM                IBM Thomas J. Watson Research CenterUnited States",148,88.1,118.4,
111,"SP Power3 222 MHz,                 IBM                University of Minnesota/Supercomputing InstituteUnited States",136,85.6,120.7,
112,"V2500/HyperPlex,                 HPE                Hewlett-Packard CXTCUnited States",128,84.4,225.28,
113,"SP P2SC 160 MHz,                 IBM                Western GeophysicalUnited Kingdom",190,83.5,121.6,
114,"SP PC604e 332 MHz,                 IBM                Sprint PCSUnited States",268,82.8,177.9,
115,"SP PC604e 332 MHz,                 IBM                ThyssenKrupp Information SystemsGermany",268,82.8,177.9,
116,"T3E900,                 Cray/HPE                KISTI Supercomputing CenterSouth Korea",132,82.1,118.8,
117,"T3E900,                 Cray/HPE                NOAA/Geophysical Fluid Dynamics Laboratory (GFDL)United States",132,82.1,118.8,
118,"SP P2SC 160 MHz,                 IBM                State FarmUnited States",186,81.89,119.0,
119,"T3E,                 Cray/HPE                Commissariat a l'Energie Atomique (CEA)France",188,81.3,112.8,
120,"ASCI White Nighthawk Prototype, SP Power3,                 IBM                Lawrence Livermore National LaboratoryUnited States",128,80.83,113.6,
121,"SP Power3 222 MHz,                 IBM                UCSD/San Diego Supercomputer CenterUnited States",128,80.83,113.6,
122,"HPC 10000 400 MHz Cluster,                 Oracle                Rutgers UniversityUnited States",128,79.36,102.4,
123,"SP PC604e 332 MHz,                 IBM                BASFGermany",256,79.17,169.98,
124,"SP PC604e 332 MHz,                 IBM                Chemical CompanyGermany",256,79.17,169.98,
125,"SP PC604e 332 MHz,                 IBM                Chemical CompanyGermany",256,79.17,169.98,
126,"SP PC604e 332 MHz,                 IBM                Japan Adv. Inst. of Science and Technology (JAIST)Japan",256,79.17,169.98,
127,"SP P2SC 160 MHz,                 IBM                GovernmentUnited Kingdom",178,78.4,113.9,
128,"SP PC604e 332 MHz,                 IBM                AlcatelFrance",252,77.9,167.32,
129,"SX-4/40H2,                 NEC                HWW/Universitaet StuttgartGermany",40,77.2,80.0,
130,"SP Power3 200 MHz,                 IBM                Deutsche Telekom AGGermany",128,76.77,102.4,
131,"SP Power3 200 MHz,                 IBM                IBM ResearchSwitzerland",128,76.77,102.4,
132,"SP PC604e 332 MHz,                 IBM                Manufacturing CompanyUnited States",246,76.1,163.34,
133,"SP PC604e 332 MHz,                 IBM                RWEGermany",244,75.5,162.01,
134,"SP PC604e 332 MHz,                 IBM                Deutsche Telekom AGGermany",242,74.9,160.68,
